userName,id,rank,scorePerMinute,killsPerMinute,winPercent,killDeath,quits,accuracy,headshots,secondsPlayed,kills,deaths,wins,loses,avengerKills,saviorKills,headShots,heals,revives,repairs,resupplies,killAssists,skill,longestHeadShot,highestKillStreak
4c1ad81cefd3dc4f87c8c85412f65,4019797321,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
463e424edbb7ef186265550b936cb,2167968294,31,354,0.39,47.92,0.61,22.58,7.69,18.92,195349,1258,2054,69,75,144,103,238,199,61,111,20,173,139,173.84,8
9bea565557442ce502ce66b0f46bd,2461950145,130,586,1.3,45.41,2.45,37.31,14.79,17.05,2332640,50524,20592,351,422,6119,2575,8612,11805,1448,67,3632,2033,406,1170.88,35
5a61e96ed7bbadc54b07917a18af1,1576675983,51,464,0.44,54.55,0.57,51.19,12.79,18.76,348393,2564,4498,78,65,242,159,481,756,264,95,5,231,145,376.56,8
df9f9457dca2c29e7ac5550141f08,2965399170,5,236,0.84,54.55,1.77,8.33,15.1,19.92,17286,241,136,6,5,25,7,48,25,0,0,0,7,204,157.15,12
f805c72868dc3c246451db7c9ed9d,2011993232,12,391,0.7,31.82,1.03,18.52,14.39,16.67,35453,414,403,7,15,66,74,69,1068,80,5,113,79,267,110.1,12
48faa5e82f86a3d54bc2bee317c2b,3722257813,18,271,0.41,57.69,0.58,42.86,7.42,12.66,109881,758,1316,30,22,54,48,96,15,2,0,3,54,146,173.64,11
895f7483175f05903ec8bf703e930,3273381550,117,614,0.7,42.16,1.38,50.74,14.98,12.92,1395410,16228,11729,293,402,1140,738,2096,2041,214,947,1058,1099,294,594.59,58
3a5a0aef32b8c1a2b7d2b092a275b,1344155388,98,893,0.75,48.04,1.15,16.83,13.1,18.58,547691,6856,5967,159,172,684,776,1274,956,159,650,5060,792,237,732.29,23
c07e447ac046b6b84510fc7a83754,1866339371,105,601,0.61,46.88,1.15,47.67,9.24,14.75,940494,9484,8238,263,298,1084,900,1399,8172,1628,338,3534,1092,224,397.22,15
eb320fadf29f37de1f91998d34de1,3361876865,126,534,0.54,46.1,1.16,29.25,13.19,11.26,2206680,19745,17088,484,566,1310,1220,2224,1462,169,2280,759,2333,257,556.1,46
a566f07f233a3206619469f678ff0,110319289,140,796,0.53,50.92,1.45,29.12,7.12,14.46,2775430,24500,16865,580,559,3023,3658,3543,33839,6144,5368,57652,4386,290,285.88,34
dbd201e82ae209aed14f6830e7aec,1614402660,20,352,0.67,36.84,1.01,38.04,11.34,26.44,95517,1059,1047,21,36,123,147,280,690,378,29,1,147,213,328.66,11
bbd9bf979359eb3a7649d33e93537,3531780768,2,218,0.43,50.0,0.87,33.33,8.28,19.23,3616,26,30,1,1,5,2,5,13,4,0,0,4,171,45.71,3
1ef2fe0172a29262b0861360f846c,4165536487,100,564,0.67,46.17,1.16,31.38,14.04,12.37,905362,10090,8717,205,239,597,617,1248,464,514,1020,53,928,277,563.14,21
7dd5aa99d87de0fee9789e969065e,2201311031,1,372,0.44,100.0,1.17,50.0,6.9,14.29,1008,7,6,1,0,1,0,1,2,0,0,0,0,108,24.41,2
177d858c431c230e1846065a185ad,3966547077,4,216,0.14,25.0,0.23,11.11,5.72,19.23,10871,26,115,2,6,1,2,5,0,0,0,5,4,119,58.47,2
c01fa2d1aa3dcf2045dca2421e6f0,182492069,25,394,0.46,38.18,0.8,5.17,11.58,20.85,121344,940,1182,21,34,77,62,196,52,42,245,12,144,216,204.1,7
a2494dc5c2602ec950a90e75d95d4,1408429891,0,51,0.0,0.0,0.0,100.0,16.67,0.0,194,0,1,0,0,0,0,0,0,0,0,0,0,85,0.0,0
4a8b7b2026d715f8ac02094b90a3f,2938029493,104,576,0.74,50.26,1.0,31.55,11.94,14.32,966295,11862,11916,385,381,1260,647,1699,1360,665,93,276,794,224,390.88,15
5d1a92e9ed56946c1e51d7542106e,4273240111,17,923,0.25,22.22,0.7,75.68,2.43,15.52,27355,116,165,2,7,6,5,18,5,0,1,0,13,157,237.96,5
927838d614adbc592bfb60fbfddfd,394380590,0,30,0.29,0.0,0.4,100.0,21.05,0.0,458,2,5,0,0,0,0,0,0,0,0,0,0,85,0.0,1
3c92e5d1355f49cc0a8ec1929ad88,2889562527,110,403,0.56,50.51,1.02,50.63,11.83,20.54,1590850,14776,14424,498,488,1159,1148,3035,4571,615,966,1776,1089,281,736.2,18
961eb322ed25023d0cecee1ad655b,3520563326,34,409,0.41,43.7,0.67,41.38,7.34,18.53,204070,1398,2090,52,67,176,161,259,1760,574,37,489,245,154,382.09,9
fd7c63ff4d51f92023329a90e147b,3879115945,11,244,0.48,36.0,0.79,57.63,11.28,20.54,55894,443,563,9,16,58,63,91,167,49,1,14,55,140,123.22,7
a56b61ada45b09b20249f3f12ee7e,221053779,117,532,0.84,57.27,1.59,45.83,12.52,12.91,1603810,22323,14022,532,397,1744,1051,2882,4280,106,1007,269,1442,307,387.23,26
8d2725d69c54511331e779e9e17c9,917076582,110,455,0.62,50.67,1.08,27.05,7.2,11.78,1407080,14504,13442,414,403,1242,1267,1708,2014,473,819,4019,1588,243,591.79,34
fa1f35ca1a099be67f0b7d5755bcd,2678729611,70,557,1.63,51.17,1.44,27.85,20.44,17.11,504169,13656,9451,175,167,2134,1780,2336,2482,2590,0,6,1370,363,77.43,21
07b9b694ce713574aebf25a929aec,2033941545,140,592,1.28,44.53,1.43,30.89,16.93,9.57,9851960,210684,147074,1937,2413,17061,18837,20162,53686,4190,1027,13775,15980,259,403.68,47
0b4562d5f5ebeaf5e3594a935b059,3353429998,8,309,0.47,46.15,0.77,35.0,12.49,20.54,23434,185,241,6,7,24,21,38,0,0,20,0,20,201,91.92,6
c3e3cb860d922d0a61d4ea78b1609,4179584653,38,257,0.37,38.93,0.71,68.63,8.81,17.61,381770,2356,3310,58,91,175,172,415,16,46,203,0,282,173,737.75,10
800cd7f17bee38e6a9a6626e7d817,1319356820,41,467,0.56,47.92,0.78,23.81,9.68,13.54,245591,2290,2921,69,75,248,278,310,2698,1149,131,44,289,389,182.46,9
d157e4bc1956da3bf31fd94393bf3,3394225344,4,161,0.41,25.0,0.67,69.23,16.4,22.34,13972,94,141,1,3,8,3,21,0,0,1,0,6,160,282.79,6
7dfa5ae07923c2dbd73e87c2a35fb,2621461806,6,155,0.58,15.38,0.92,40.91,10.66,20.6,27647,267,290,2,11,44,20,55,55,1,0,2,29,137,323.82,9
973550c4d9cb21fa2230150ada59b,2057674310,115,680,0.5,48.58,0.84,29.81,10.74,13.92,1151310,9641,11519,326,345,957,879,1342,3091,857,719,1829,1158,237,360.33,31
95c733f94c7e4f15426ae1d3c14b7,805509684,140,599,0.82,51.54,1.07,28.67,13.19,13.93,4369250,59368,55236,1022,961,5391,4612,8269,7592,3125,428,1055,5977,314,749.4,32
86d74838ec739d995f3be926fb24a,1236564226,7,386,0.4,57.14,0.58,50.0,4.76,13.59,15386,103,177,4,3,9,3,14,3,0,113,0,15,175,33.15,4
bf9af5ddd454467c12acc84489056,1693036367,0,0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,0,0,0,0,0,0,0,0,0,0,0,85,0.0,0
26bea0950397e1768c86c6ef88ef3,174690621,140,467,0.81,54.87,3.38,58.03,12.38,17.09,5560190,74915,22176,1003,825,8465,10683,12801,31249,2819,367,26605,10844,250,645.63,58
7eb18d0de2dc15e35fe32df4625ab,1753413635,5,325,0.79,28.57,0.92,30.0,14.55,18.45,12827,168,182,2,5,13,11,31,0,0,0,0,19,193,92.97,9
0f5ad57da891418047f030e5d73b0,1714444385,89,535,0.51,42.67,1.03,46.96,9.03,20.37,777098,6555,6359,160,215,633,610,1335,954,238,126,2349,732,208,696.82,30
6e45ed246143b8646eba998dbda6f,1177164448,1,184,0.32,0.0,0.53,50.0,8.46,10.0,1862,10,19,0,1,1,1,1,0,0,0,2,0,97,4.41,2
c777ad4be5a1a792726f9819a9f1e,4089454367,83,547,0.75,48.27,0.96,28.11,12.6,20.06,680277,8518,8919,237,254,884,696,1709,1128,568,144,474,835,293,319.62,13
6b5dc05b2ab5858f4a082e69f9ad4,3319973830,109,847,0.84,47.5,1.29,20.22,14.37,16.96,729968,10218,7926,238,263,1192,1143,1733,6335,2548,751,1115,1252,329,292.89,25
436d17fd1b28a86529566440e8f27,3789572441,100,428,0.82,58.85,1.14,38.22,13.33,18.11,1183490,16249,14303,625,437,1837,1752,2943,17101,2822,105,1532,1701,215,333.95,21
28fd72c3e6fded57be7b9ec347262,522223285,11,658,0.46,57.14,0.63,50.0,8.9,26.62,18051,139,219,8,6,16,18,37,64,23,0,5,22,176,75.03,10
a13abc541dc22b4b5dc95137618aa,589039699,26,427,0.42,39.68,0.64,42.2,9.77,13.48,124848,883,1376,25,38,106,78,119,636,65,87,255,110,148,200.8,9
ba2fb17202a9f1cc3af1a96088d4d,1677286621,4,161,0.55,40.0,0.7,47.37,9.82,13.74,14226,131,187,4,6,17,16,18,17,0,0,0,18,170,142.08,5
0f2318afe21a1d41c7e9ff14c4600,8143852,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0
